Time resolution is 1 ps
Time		PC		Instr		rd
0ns		0000		0000		0000
1ns		0002		0120		0003
3ns		0004		3435		0008
5ns		0006		6001		0000
7ns		000a		0100		0003
9ns		000c		0561		ffff
11ns		000e		0122		000c
13ns		0010		3647		000f
15ns		0012		0563		000f
17ns		0014		3dd1		000e
19ns		0016		48c3		0008
21ns		0018		2102		000c
[debug:memory] outWord = 000c
23ns		001a		1802		000c
25ns		001c		584b		000c
27ns		0014		3dd1		000f
29ns		0016		48c3		000c
31ns		001e		0d00		000f
33ns		0020		0000		0000
35ns		0022		0000		0000
37ns		0024		0000		0000
39ns		0026		0000		0000
41ns		0028		0000		0000
43ns		002a		0000		0000
45ns		002c		0000		0000
47ns		002e		0000		0000
49ns		0030		0000		0000
51ns		0032		0000		0000
53ns		0034		0000		0000
55ns		0036		0000		0000
57ns		0038		0000		0000
59ns		003a		0000		0000
61ns		003c		0000		0000
63ns		003e		0000		0000
$finish called at time : 64 ns : File "C:/Users/osmon/temp/cse490-vivado/arch-project.srcs/sources_1/imports/WORKING Vivado code/sim_1/new/cpu_tb.sv" Line 37
